"Name","Version","FirstDate","FirstBucket","LastDate","LastBucket","Description"
"__template","0","2023-02-01T02:09:04Z","mo-san/scoop-bucket","2023-02-01T02:09:04Z","mo-san/scoop-bucket",""
"010editor","13.0.1","2023-02-06T01:09:21Z","duzyn/scoop-cn","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","Professional text and hex editor with Binary Templates technology."
"0ad","0.0.26","2023-02-06T01:09:21Z","duzyn/scoop-cn","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","Free and open source strategy game of ancient warfare"
"0cc-famitracker","0315r3","2023-02-04T00:51:29Z","skellygore/scoop-bucket","2023-02-04T00:51:29Z","skellygore/scoop-bucket","0CC-FamiTracker is a backward-compatible extension of FamiTracker that includes various bug fixes and new features that are also supported in exported NSFs."
"0x0","1.0.0","2021-04-29T18:19:38Z","alextwothousand/scoop-bucket","2021-04-29T18:19:38Z","alextwothousand/scoop-bucket",""
"10x-np","0.35.88","2023-02-06T01:09:21Z","duzyn/scoop-cn","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","A fast performing, feature packed C++ editor/IDE."
"115","2.0.2.9","2023-02-06T09:33:13Z","echoiron/echo-scoop","2023-02-06T09:33:13Z","echoiron/echo-scoop","提供文件、通讯录、相册、我听等一系列智能高效的数据存储、记录管理服务"
"11game-platform","2.6.0.27","2023-02-04T04:00:54Z","SayCV/scoop-cvp","2023-02-04T04:00:54Z","SayCV/scoop-cvp","11对战平台: 上海青蔓网络科技有限公司匠心出品"
"163MusicLyrics","5.8","2023-02-06T13:12:02Z","ygguorun/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","Windows 云音乐歌词获取【网易云、QQ音乐】"
"1964","1.1","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","1964 Emulator has now ceased active development, but was at one point regarded as one of the best Nintendo 64 Emulators around, making use of an extremely fast recompiler core that gave it an edge in performance."
"1by1","2.05","2023-02-05T06:44:50Z","dodorz/scoop","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","Directory Player: directly plays folder contents."
"1by1-Portable","2.05","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","2023-02-06T17:15:28Z","ACooper81/scoop-apps","1by1. Directory Player: directly plays folder contents."
"1Clipboard","0.1.8","2023-02-05T06:44:50Z","dodorz/scoop","2023-02-06T17:07:28Z","anderlli0053/DEV-tools",""
"1fichier-dl","0.1.5","2023-02-06T16:26:46Z","Brawl345/scoop-bucket","2023-02-06T16:26:46Z","Brawl345/scoop-bucket","1Fichier Download Manager."
"1history","0.3.1","2023-02-04T06:02:30Z","younger-1/scoop-it","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","A command line tool to backup your histories of different browsers into one place."
"1Password","latest","2022-11-30T05:24:07Z","doamatto/scoop-bucket","2022-11-30T05:24:07Z","doamatto/scoop-bucket","Password manager that keeps all passwords secure behind one password"
"1password-cli","2.13.1","2023-01-28T01:55:30Z","mjaroszek/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","The 1Password command-line tool makes your 1Password account accessible entirely from the command line."
"1password-cli1","1.12.5","2023-02-06T01:09:21Z","duzyn/scoop-cn","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","The 1Password command-line tool makes your 1Password account accessible entirely from the command line (v1)"
"2048Portable","2.2","2020-06-03T19:23:54Z","p8rdev/scoop-portableapps","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","number tiled puzzle game"
"2345pic","10.9.1.9791","2023-02-06T09:33:13Z","echoiron/echo-scoop","2023-02-06T09:33:13Z","echoiron/echo-scoop","2345看图王是2345推出的一款速度超快并且格式兼容超多的高清看图软件，支持多达95种格式图片的查看"
"2XClient","12.0_build_2193","2020-06-03T19:23:54Z","p8rdev/scoop-portableapps","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","Remote server & RDP"
"3270-NF","2.3.3","2023-02-06T01:09:21Z","duzyn/scoop-cn","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","Nerd Fonts patched '3270' Font family. (Normal version, Nerd Fonts Symbol/Icon could be 1 or 2 cell wide)"
"3270-NF-Mono","2.3.3","2023-02-06T01:09:21Z","duzyn/scoop-cn","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","Nerd Fonts patched '3270' Font family. (Monospace version, Nerd Fonts Symbol/Icon will be always 1 cell wide)"
